"","x"
"1089",-15.88
"1090",-11.04
"1091",-6.89
"1092",-3.49
"1093",-0.32
"1094",3.35
"1095",8
"1096",13.29
"1097",18.01
"1098",20.42
"1099",19.06
"1100",13.54
"1101",4.79
"1102",-5.13
"1103",-13.72
"1104",-18.91
"1105",-19.66
"1106",-16.2
"1107",-9.75
"1108",-1.92
"1109",5.93
"1110",13.07
"1111",19.48
"1112",25.64
"1113",32.12
"1114",39.23
"1115",46.75
"1116",53.9
"1117",59.53
"1118",62.41
"1119",61.57
"1120",56.47
"1121",47.14
"1122",34.06
"1123",18.04
"1124",0.3
"1125",-17.49
"1126",-33.34
"1127",-45.13
"1128",-51.13
"1129",-50.58
"1130",-43.97
"1131",-33.07
"1132",-20.32
"1133",-8
"1134",2.42
"1135",10.56
"1136",16.95
"1137",22.35
"1138",27.29
"1139",31.78
"1140",35.5
"1141",38.14
"1142",39.77
"1143",40.81
"1144",41.77
"1145",42.73
"1146",43.02
"1147",41.71
"1148",38.17
"1149",32.69
"1150",26.33
"1151",20.28
"1152",15.08
"1153",10.22
"1154",4.69
"1155",-2.25
"1156",-10.31
"1157",-18.15
"1158",-24.3
"1159",-28.15
"1160",-30.5
"1161",-33.21
"1162",-38.16
"1163",-45.95
"1164",-55.6
"1165",-64.89
"1166",-71.45
"1167",-73.66
"1168",-70.98
"1169",-63.86
"1170",-53.38
"1171",-40.95
"1172",-28.01
"1173",-16.01
"1174",-6.07
"1175",1.34
"1176",6.73
"1177",11.42
"1178",16.98
"1179",24.49
"1180",34.17
"1181",45.49
"1182",57.59
"1183",69.6
"1184",80.53
"1185",88.98
"1186",93.02
"1187",90.72
"1188",81.1
"1189",65.06
"1190",45.44
"1191",26.21
"1192",10.85
"1193",1.15
"1194",-3.32
"1195",-4.58
"1196",-4.98
"1197",-6.22
"1198",-8.92
"1199",-12.99
"1200",-18.06
"1201",-23.96
"1202",-30.51
"1203",-37.16
"1204",-42.84
"1205",-45.9
"1206",-44.66
"1207",-38.01
"1208",-25.89
"1209",-9.4
"1210",9.52
"1211",28.6
"1212",45.83
"1213",59.62
"1214",68.97
"1215",73.46
"1216",73.42
"1217",69.87
"1218",64.27
"1219",57.97
"1220",51.73
"1221",45.64
"1222",39.25
"1223",32.12
"1224",24.08
"1225",15.24
"1226",5.71
"1227",-4.65
"1228",-16.03
"1229",-28.43
"1230",-41.03
"1231",-52.37
"1232",-60.87
"1233",-65.8
"1234",-67.8
"1235",-68.61
"1236",-70.13
"1237",-73.1
"1238",-76.76
"1239",-79.05
"1240",-77.67
"1241",-71.14
"1242",-59.31
"1243",-43.31
"1244",-24.96
"1245",-6.2
"1246",11.23
"1247",25.73
"1248",36.14
"1249",42.14
"1250",44.65
"1251",45.78
"1252",47.86
"1253",52.02
"1254",57.28
"1255",60.69
"1256",58.67
"1257",49.15
"1258",32.92
"1259",13.52
"1260",-4.34
"1261",-17.02
"1262",-23.45
"1263",-25.17
